id,Цена
747,2295221.5617700266
962,1615316.321157897
1105,2305141.556711172
795,4311372.662201103
390,2771203.0992259285
1302,1619737.5529194395
1448,2283865.5531600094
1388,3118983.0002551726
126,976240.2212245241
1605,3133361.765182163
870,2447100.498271914
701,1258392.128076676
1239,4009174.208883529
1201,5386689.963804331
685,1963507.4794893395
427,2190969.207026324
168,554270.4124425041
1181,4018299.0798340603
1428,2157545.407763903
347,2600693.9452512003
1385,1750637.9660176388
220,1693871.5369378445
125,2962648.888873698
197,1952808.8529925873
1108,2499698.0270661693
1166,3292375.2212992795
871,4096243.7635161323
1544,2273098.9398348066
513,2673169.5437109484
1431,2592029.4817234203
194,3294094.432313764
1401,2179306.821225811
509,2941653.964291197
381,4748952.731796211
361,2352840.2450155723
1254,2618925.3645594567
609,831387.4849922017
349,3774398.413330461
1067,3078755.236800911
970,3352687.827809429
1062,2290157.1785368365
301,4135829.7650563945
593,4345706.15171076
1491,2126712.6685285484
652,2067952.9350514142
1262,2473309.8983800556
1459,3425927.649568734
1089,1267132.1416201121
436,3496195.352452231
259,2217887.581236663
1566,3083206.7661898015
499,2324732.946164052
943,5369729.889862271
316,2898204.555410383
1123,2090929.3256173013
1185,1660677.8803038707
158,801571.8959283362
817,1141965.4867473939
1380,4611792.284685802
829,2769864.2869328745
1326,2938942.484230996
1390,3039768.635108961
1514,2932650.3896825686
1444,2735988.5632224125
763,2209981.3661717908
680,2851592.152611768
337,1558922.4148319738
20,4323139.754675087
413,2364467.2898753122
515,2118425.4914330756
18,4423905.867984898
1513,2207693.6696384847
544,2650782.6346554845
136,3621689.584714099
93,1400066.9533237824
1581,2316048.12234981
1571,2291217.732813991
1356,1776349.08140629
1387,2324592.774074296
1432,2509227.765020105
1226,2389276.6084341584
600,2578172.601266991
846,295905.35797091713
872,2131835.5868157237
1183,964318.0637218277
1599,4145790.8608299983
1129,766414.1763614144
1402,2494804.7381446618
1242,2364758.917829054
890,6282566.762521163
1046,3119445.6055620676
638,2467978.926036417
134,3400969.260398182
794,2800688.308473715
333,2663890.8944970667
1408,483862.1759299723
1120,2024457.612809325
1072,1479196.7819493816
692,951906.1636384127
1261,3744454.358245133
1469,2335639.804628015
510,3233031.105247838
786,1979666.7476871079
1165,2942889.576361396
204,1066201.099338058
602,4007781.0867498475
269,4091737.99329137
1306,3228830.3304838794
551,1994258.5289499294
113,1795104.5749197104
1142,3479322.1563549023
514,2954844.239689031
1282,2746831.350457716
952,3270269.6104671545
1265,2805463.4917558297
1503,3304710.022495939
1389,4089212.8865458868
956,2909510.672473283
497,2800668.509042709
589,4183340.817534232
1498,4200386.901827756
232,1564258.2540853494
1564,2688016.7436109013
82,2241011.7078823647
312,3011888.3144031595
1393,2542134.1207144773
1222,2850584.5974679994
758,579551.7892341351
1361,1036447.3400239653
1295,2417013.228002096
659,1452070.2765409246
236,2066820.4210687322
569,2004723.2693642634
1204,3060093.9359395197
1309,3898328.5105478726
1126,2793102.2251678105
743,3674689.8713028445
1360,1464891.5338755655
566,4326997.192970604
688,3933664.042632442
4,2560873.1674466394
1407,1740772.729543299
506,6783728.071607497
1347,4095325.278802088
1308,4825590.968528045
1474,2184995.742227905
605,3761986.888701976
571,3613945.2697035125
1029,2726074.078888889
1169,2164567.094398874
1131,3213395.3265159116
938,2179748.820281336
555,3092238.185933379
1313,3334603.954360288
157,823972.1457679176
1249,2714964.1032381775
529,2586731.8616528017
139,3889064.85301661
1395,2542134.1207144773
1396,3267132.716791249
1050,3129981.7723798333
325,2741453.2957814913
995,679149.1528470996
348,3322531.6780475937
738,5173220.510279575
1284,3931259.523662592
1040,3527893.620251349
644,2280985.0257680775
1496,5199406.139026508
201,2346507.486644992
784,1350077.3362144087
346,1579035.373109662
1480,2199471.041227412
920,2730851.7843823615
428,1090938.5421731416
334,3370389.4114511204
503,3997649.0305372584
1117,2341675.310637766
698,1663626.5508271183
1320,4820781.824042926
34,2490673.1621672725
1219,4222827.058509249
108,1899739.2723858221
438,1403446.545504449
247,3434938.949985433
651,2299911.413015513
1141,4072203.0518551585
576,4974973.0742984675
471,2046937.2258726126
592,3759527.447096253
162,824110.0589298278
72,5124791.412366632
293,1034232.5367481967
855,2819814.7287298054
898,6145889.687089872
718,4265178.256745109
277,3094356.4938975396
876,2775042.6105970293
478,3233531.081726274
1589,2327186.582772994
1267,1771267.7374565736
378,2163353.5344295264
1404,1330308.614005206
53,2890913.6177508365
84,2696724.576234284
714,2081475.432151665
669,1848896.4705173399
525,2794154.1343978327
444,2468864.2042928874
43,2930199.674408427
857,935505.5590558809
550,3001805.3209768957
843,3601065.769228005
869,1977129.379355817
1271,2738257.542074931
211,2320308.9252636866
1475,3427620.968965554
1381,2148363.103553294
276,3776646.0283257794
552,2928662.036115821
41,5862731.171401501
487,3501809.2822286296
785,2174522.707843553
153,805517.9164391278
1430,3982928.8417604114
1238,2134565.960214596
418,1825205.93093235
42,3659764.999253942
654,2280848.9063629117
1260,5020709.47908444
1572,1501846.0791820916
540,3095714.2777443114
118,739575.5668831003
1478,2090529.8454921483
54,4869842.413972149
183,1734451.82990535
746,2106631.1679975498
208,991066.8915535652
530,2392887.6080537774
853,3328709.584195414
367,2736259.694137399
612,2982296.577774675
192,3164668.9090672014
376,5173975.897265933
910,2398668.2205578526
809,1596600.5528144122
596,3302949.56999158
338,1782831.4217402765
1069,2973881.9844295625
1080,3638227.442591466
374,2313904.1555870557
1182,638196.6357674286
1487,2297934.5254930393
1454,5646124.487508366
31,1388195.2873247622
287,3188784.272480132
1047,2651565.7536455733
87,2175312.327416728
1057,2569821.567071117
1466,1722944.3171630078
1157,2053898.3148667892
1094,2236661.0589531343
1215,3085273.2668602346
575,4974973.0742984675
812,2240297.542052805
1417,2624714.1712769573
404,3400178.5877976553
868,1143066.3805298265
1593,3943515.3928966434
156,1479508.0943860598
614,2821793.697306462
1583,4038917.6207137336
648,2169746.367562953
792,703003.2440583139
1374,2426218.261358756
1537,2268550.7317022146
1250,1872636.1214860757
813,2229205.2530856635
635,890361.0868947576
359,3830551.3340349575
1559,2233108.8210861445
878,947024.1281260725
1400,3068850.6754442793
1270,3931969.978622273
294,797885.4290675962
1470,2155083.7502427013
918,2530089.77907179
518,2514160.3278231057
1351,5025867.775088139
392,1762395.1806319046
166,598855.2402163686
531,3304688.4480905184
1218,1444893.3848906541
969,2815228.804843957
1101,1581169.7943789717
331,2509858.880412865
707,4036510.6875681425
58,4823573.642872883
776,2030055.9468169645
1610,1481010.5143001971
1497,2465238.0516785914
753,2939570.651173374
1405,1949464.2149562743
1371,1589066.5575992551
178,827563.9334490413
1352,2217125.3622209057
947,1410605.797946414
199,2312446.496483092
996,3354889.5390690756
81,2817134.569582946
1348,3988520.447388235
524,2516495.207086308
218,3806021.5680525377
142,2559247.9835927193
636,879268.7979276162
440,2622242.75848454
319,2640287.181079068
1147,1208286.0586790373
1455,2629452.554660952
904,3140137.624829485
917,3419337.4945152416
1468,1382887.4341023152
215,3971058.5824221955
1333,3985422.7131336187
1517,4217264.627399003
249,2958959.170068508
377,4794178.633887673
1281,2807150.7071732553
165,559816.5569260748
803,2279143.00116385
373,2305008.23005937
937,2938059.1700830553
147,4154745.722491382
486,2268318.0490151234
756,3993990.040468685
131,2104370.204963664
206,1119286.3241033133
595,2371922.7175029414
1109,1875385.3252195264
560,3579287.6549736825
1049,4720907.200502843
1095,3353444.125448601
1276,1940192.5038185138
207,841893.7066702445
461,2833837.7551352726
250,4050825.5173176336
1107,1933888.5560478577
30,4392270.172360532
439,3545896.9720868687
1092,2935800.003036422
75,3988033.2039984507
299,2708254.630590045
1435,4056931.541313494
859,4032630.443894708
1151,922535.1294776411
414,1669605.3495118646
1409,650030.2177232811
443,2677513.0522455177
1611,2708147.4215245103
863,3169786.433426625
484,2358531.0074310717
431,1418013.2136793046
558,2337422.923633686
820,1817968.8794957895
905,2517187.7840854703
671,2247971.942302607
117,2733423.2327634613
674,2955419.684465483
61,3548532.132261821
1207,2662954.685937885
241,2515074.005921161
764,3265332.2115803966
990,2344946.9686880833
401,1841673.1015998868
1375,1136992.7137061313
1174,2005119.5660098414
94,1695137.3383315357
941,2432560.415122696
1460,2733450.021038375
899,2379314.3403834635
1331,2614132.6887820363
1224,730049.187628032
587,3914402.719436015
1570,2513593.984690501
1429,4060244.1083637974
553,2630584.2366726235
570,4468083.87480787
761,2746287.6320233187
1130,3793532.079258532
1369,1740851.7846052432
900,3204977.0722275865
1481,2299088.191517606
263,2142057.2319576046
1275,3198333.140663076
1604,3511625.559512634
1384,3337163.593504106
1017,2579554.0709040426
626,2368605.6096025747
1595,4120970.728535591
494,2157062.9976157295
1530,1942570.6224471815
1523,3725401.0847097198
1535,2912077.523858601
790,1908323.9776255563
70,4392309.927851504
582,3955734.7303285496
1486,3259507.847019116
1199,4984465.056231424
391,4419208.160930747
802,1788512.9191771245
1292,3135531.0600456228
1152,2561255.017479067
1473,3382155.8512343774
171,2088062.8805431072
323,2837275.4348405325
982,2066779.0869052182
281,3185377.6031659464
1434,2229239.495188592
1542,2821490.93256762
1379,3378437.632908616
463,3187163.6998356306
91,608858.7852498286
1113,5182481.350462919
1299,1886414.9593552137
563,5605577.625129677
68,5244285.655037813
257,3557794.726134104
1512,2174201.1308317613
631,2333917.3568646363
1225,2519072.2172414684
841,1133778.6073069954
821,1778930.1962054956
1349,3470839.297032831
180,804148.8469687566
1416,5143637.889037279
239,2057736.6932394612
960,2451316.991229026
1148,1169247.3753887436
