PassengerId,Survived
384,1.0
882,0.0
276,1.0
648,0.0
224,0.0
855,1.0
81,0.0
389,0.0
796,0.0
250,0.0
751,1.0
837,0.0
495,0.0
147,0.0
198,0.0
80,1.0
763,0.0
145,0.0
244,0.0
154,0.0
529,0.0
876,1.0
13,0.0
362,0.0
605,0.0
218,0.0
279,0.0
666,0.0
242,1.0
610,1.0
96,0.0
282,0.0
280,1.0
584,0.0
50,1.0
225,0.0
169,0.0
99,1.0
395,0.0
191,1.0
519,1.0
730,1.0
331,1.0
789,1.0
317,1.0
695,0.0
556,0.0
587,0.0
465,0.0
473,1.0
102,0.0
664,0.0
467,0.0
62,1.0
58,0.0
494,1.0
327,0.0
382,1.0
811,0.0
685,0.0
116,0.0
516,0.0
143,1.0
226,0.0
625,0.0
887,0.0
416,1.0
293,0.0
508,0.0
781,1.0
295,0.0
64,1.0
836,1.0
55,0.0
580,0.0
758,0.0
358,1.0
725,0.0
622,0.0
231,1.0
881,1.0
237,0.0
361,0.0
740,0.0
545,0.0
431,0.0
266,0.0
232,0.0
658,1.0
617,0.0
134,1.0
196,1.0
741,0.0
736,0.0
206,1.0
852,0.0
370,1.0
54,1.0
769,0.0
30,0.0
311,1.0
525,0.0
550,1.0
100,0.0
119,0.0
765,0.0
692,1.0
313,1.0
651,0.0
341,1.0
401,0.0
43,0.0
671,1.0
594,0.0
684,0.0
219,1.0
469,0.0
835,0.0
365,0.0
478,0.0
704,0.0
577,1.0
355,0.0
84,0.0
572,1.0
267,0.0
867,1.0
186,0.0
23,1.0
621,0.0
73,0.0
162,1.0
485,0.0
675,0.0
708,0.0
257,1.0
398,0.0
737,0.0
320,1.0
866,1.0
686,0.0
458,1.0
26,0.0
42,1.0
148,0.0
672,0.0
482,0.0
650,1.0
334,0.0
425,0.0
687,0.0
542,0.0
530,0.0
178,1.0
639,0.0
41,1.0
417,1.0
745,0.0
604,0.0
515,0.0
239,0.0
707,1.0
534,0.0
761,0.0
387,0.0
255,0.0
802,1.0
842,0.0
814,0.0
433,1.0
823,0.0
676,0.0
875,1.0
9,0.0
858,0.0
220,0.0
344,0.0
809,0.0
89,1.0
468,0.0
363,1.0
678,1.0
638,0.0
833,0.0
129,1.0
4,1.0
179,0.0
445,0.0
636,1.0
840,0.0
52,0.0
848,0.0
127,0.0
67,1.0
270,1.0
349,1.0
871,0.0
849,0.0
457,0.0
252,1.0
659,0.0
82,0.0
440,0.0
541,1.0
728,1.0
459,1.0
446,1.0
286,0.0
385,0.0
49,0.0
424,1.0
333,0.0
663,0.0
290,1.0
335,1.0
298,1.0
641,0.0
820,1.0
163,0.0
599,0.0
863,1.0
812,0.0
616,1.0
21,0.0
776,0.0
166,1.0
489,0.0
783,0.0
496,0.0
77,0.0
480,1.0
759,0.0
585,0.0
493,0.0
844,0.0
94,0.0
472,0.0
857,1.0
824,1.0
391,0.0
619,1.0
46,0.0
374,0.0
777,0.0
574,1.0
549,0.0
774,0.0
850,1.0
750,0.0
742,0.0
647,0.0
12,1.0
874,0.0
653,0.0
175,0.0
830,1.0
140,0.0
150,0.0
540,1.0
665,0.0
322,0.0
483,0.0
403,1.0
199,1.0
75,0.0
460,0.0
770,0.0
251,0.0
562,0.0
380,0.0
807,0.0
703,1.0
187,1.0
581,1.0
258,1.0
602,0.0
869,0.0
34,0.0
681,1.0
706,0.0
61,0.0
861,0.0
536,1.0
762,0.0
95,0.0
510,0.0
19,1.0
818,0.0
83,1.0
324,1.0
360,1.0
103,0.0
194,1.0
412,0.0
816,0.0
299,0.0
720,0.0
421,0.0
443,0.0
307,1.0
429,0.0
753,0.0
831,1.0
474,1.0
528,0.0
352,0.0
603,0.0
450,0.0
680,0.0
862,0.0
640,0.0
168,0.0
606,0.0
167,1.0
476,0.0
254,0.0
785,0.0
51,0.0
434,0.0
682,0.0
192,0.0
702,0.0
448,0.0
185,0.0
217,1.0
59,1.0
241,1.0
8,1.0
479,0.0
87,0.0
865,0.0
390,1.0
325,0.0
53,1.0
78,0.0
427,1.0
618,1.0
670,1.0
747,0.0
573,0.0
337,0.0
690,1.0
601,1.0
304,1.0
724,0.0
402,0.0
558,0.0
801,0.0
677,0.0
353,0.0
566,0.0
346,1.0
115,1.0
539,0.0
656,0.0
11,1.0
308,1.0
